time,user_name,user_color,message
12,trolltsky,#FF0000,"OMG"
12,bucciaratism,#FF69B4,"mais maman stp laisse moi dire orv à mes potes avant, trop la honte"
12,cheputroki,#FF0000,"ROMET LE STREAM"
12,zilaae,#DAA520,"AH"
13,roquelaure2,#FF4500,"<3 <3 <3 <3 <3"
13,huilemax,#5F9EA0,"Ah"
13,berriebomb,#9ACD32,"ah non"
14,nrvai_c8h11no2,#FD9228,"ALORS PEUT ETRE"
14,akhatan,#FF0000,"Ah ?"
14,kbdninja_c12h12o4_n,#5F9EA0,"AAAAAALLLLLLLLLEEEEEEEEEEEZZZZZZZZ"
14,nnoctua,#FF641C,"NotLikeThis NotLikeThis NotLikeThis"
14,symabraz,#008000,"Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler"
14,chinto77,#DAA520,"zrtNotLikeThis zrtNotLikeThis zrtNotLikeThis"
14,yoyoapero,#FF69B4,"AH"
14,kalasdra,#449B9B,"OH"
14,ju_2blk,#FF7F50,"ALORS PEUT ETRE"
14,bahamut_dragoon,#FF69B4,"ÇA REVIENT, PARTEZ PAS, ELLE A DIT DAMDAM"
14,persephonelachips,#FF69B4,"Oh restez sur place, les modos disent qu'ils tentent de remettre internet"
14,betsy027,,"🩵🩵🩵"
14,alkalice__,#FF7F50,"ALORS"
14,arthagau,#079C23,"ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR"
14,zigouigoui_cv,#FF69B4,"DOMMAGE KEKW"
15,khalashi,#FF0000,"zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy zrtJy"
15,lovebacon3000,#A40E0E,"DOMMAGE"
15,reijin373,#FF69B4,"On essaye de faire revenir internet !"
15,jeanmichelzambla,#DAA520,"HOLD THE LINE"
15,redst0,#11A7A7,"OMG als peut-être"
15,herazed2204,#00FF7F,"la feinte"
15,bluefox2245,#FF4500,"AH"
16,lasaintechaine,#8A2BE2,"ROMET"
16,aeg_letran14,#DAA520,"PAS RE"
